,dealer,msrp_total,msrp_base,model_title,color,VIN
0,04309,35269.0,35269.0,RAV4 XLE Premium FWD 2.5L 4-Cyl.,Blizzard Pearl [extra_cost_color],2T3C1RFV8MW155348
0,04309,35934.0,35934.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV7MU053228
0,04309,35934.0,35934.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV8MU054016
0,04297,38718.0,38718.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV5MU053972
0,04211,32278.0,32278.0,RAV4 XLE Premium FWD 2.5L 4-Cyl.,Midnight Black Metallic,2T3C1RFV6MC143605
0,04211,33383.0,33383.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3RWRFV4MU032139
0,04013,34213.0,34213.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFV1MU033071
0,04013,40290.0,40290.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV6MU054643
0,04059,34213.0,34213.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFV6MU032952
0,04059,39243.0,39243.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],4T3B6RFV9MU055028
0,04059,40275.0,40275.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV0MU053021
0,04059,40275.0,40275.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV4MU053815
0,04059,40715.0,40715.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV7MU054652
0,04247,34662.0,34662.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3RWRFVXMU033246
0,04247,36043.0,36043.0,RAV4 XLE Premium Hybrid AWD,Midnight Black Metallic,JTMB6RFV8MD039304
0,04247,40656.0,40656.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV3MU054891
0,04137,34662.0,34662.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3RWRFV7MU033320
0,04137,38778.0,38778.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV0MU053135
